Model,Type,Avg RMSE,Std RMSE,Avg Inference (μs),Std Inference (μs),Avg Efficiency,Training Time (s),Scaling Factor
ELM,ML,1.6904648576879642,0.16589026063613713,0.5571246147155762,0.19119172854911579,1195.6187928644604,0.14003276824951166,1.712132629992464
MDN,ML,1.6721410789546227,0.17460989930654286,0.7741451263427734,0.10596089888910343,788.1968324659161,9.85292375087738,1.0354041416165665
CVAE,ML,1.8392189889948654,0.44633243882239915,1.1625289916992188,1.2486578044051861,660.3555269813239,10.00219413638115,0.1552945143884892
ANN,ML,1.6693341909544885,0.17937766337262037,1.5350282192230225,0.07665020256664674,395.42582422806765,2.2006887197494507,0.9801255230125522
KNN,ML,1.7032915390189154,0.3153248779427982,19.402742385864258,5.29034514910322,39.987147207257465,0.014746069908142048,2.9862587927367903
RandomForest,ML,1.6173864659708945,0.34987785103180613,20.783036947250366,4.969778683189028,36.54056109986253,0.6340146064758301,1.8163671904368095
Analytical_IK,Analytical,2.6573932263580793,0.1746355658250873,38.435935974121094,14.590279936862316,10.941569024627608,0.0,1.5918263899889118
SVM,ML,1.6577213614305104,0.277143421472132,526.1014997958624,233.88646222004652,1.8947048266845132,1.6198441684246063,6.541790950297449
Jacobian_IK,Numerical,1.8432422578955305,0.7900285833813799,10948.259174823714,7031.564408663807,0.2559492984582976,0.0,2.1655568850441704
SDLS_IK,Numerical,2.7300292846428684,0.03246666781837477,48554.88839745517,28835.786753670764,0.012274817073752576,0.0,9.235998046984426
